//////////min,1////////////
100,73,73,56,100,100
100,72,72,55,100,100
100,68,68,53,100,100
100,66,66,45,100,100
100,77,77,63,100,100
100,72,72,63,100,100
100,68,68,53,100,100
100,69,69,50,100,100
100,75,75,57,100,100
100,70,70,52,100,100

//////////min,2,verfier
249,68.27309,91,94,100,100
245,67.34694,89,95,100,100
254,69.68504,91,93,100,100
234,70.08547,92,95,100,100
251,71.71315,95,96,100,100
250,67.2,91,96,100,100
275,72.72727,94,98,100,100
242,69.00826,91,93,100,100
258,74.8062,93,96,100,100
255,70.19608,94,96,100,100

//////////min,3,verfier
322,72.36024,79,81,100,100
319,66.45768,73,75,100,100
318,67.92453,70,74,100,100
318,64.15094,70,72,100,100
321,61.68224,67,70,100,100
313,61.34185,62,65,100,100
321,61.37072,67,71,100,100
320,66.5625,70,76,100,100
321,66.04362,77,78,100,100
319,63.63636,74,78,100,100

/////////////////min,4
406,59.60591,84,86,100,100
406,63.7931,86,88,100,100
408,57.10784,74,78,100,100
406,59.35961,84,87,100,100
408,60.04902,80,83,100,100
413,57.62712,75,81,100,100
405,60.24691,79,82,100,100
413,62.2276,81,86,100,100
412,59.2233,78,84,100,100
407,59.21376,80,82,100,100

//////////////////////min,5/////////
500,59.4,70,96,100,100
500,59.2,71,98,100,100
500,58,64,98,100,100
500,60.6,69,98,100,100
500,59,65,100,100,100
500,59.4,70,99,100,100
500,57.4,67,95,100,100
500,58.2,67,95,100,100
500,56.4,60,92,100,100
500,60.4,71,96,100,100

//////////////////////no,min/////////
159,77.98742,58,60,100,71
181,76.79558,62,65,100,70
163,66.87116,49,52,100,68
200,73.5,69,74,100,83
171,78.36257,61,63,100,74
184,72.28261,62,65,100,74
161,80.12422,62,64,100,70
192,80.72916,64,66,100,72
194,73.71134,68,72,100,81
199,69.84924,60,62,100,78

////////////////////coldstart,only,for,2/////
200,52,98,98,100,100
200,53.5,99,99,100,100
200,52,97,97,100,100
200,50.5,97,97,100,100
200,55.5,98,98,100,100
200,52.5,98,98,100,100
200,52,96,96,100,100
200,48,92,92,100,100
200,49.5,96,96,100,100
200,52.5,97,97,100,100

//////////////////////////////coldstart,only,for,1/////
100,92,92,92,100,100
100,97,97,97,100,100
100,94,94,94,100,100
100,94,94,94,100,100
100,96,96,96,100,100
100,98,98,98,100,100
100,96,96,96,100,100
100,97,97,97,100,100
100,94,94,94,100,100
100,93,93,93,100,100

///////////////////only,1,without,coldstart///////////
71,60.56338,43,33,100,71
77,64.93507,50,37,100,77
70,61.42857,43,23,100,70
78,70.51282,55,33,100,78
68,61.76471,42,21,100,68
70,71.42857,50,32,100,70
78,64.10256,50,34,100,78
68,64.70588,44,25,100,68
66,69.69697,46,26,100,66
72,56.94444,41,29,100,72
